# log10(N)                 cPower                         slowPower                       fastPower                veryfast Power 
                    1   1.08000000000000003583e-06   1.04000000000000004823e-07    8.60000000000000024611e-08   1.05999999999999996262e-07 
                    2   1.02000000000000000149e-07   3.56999999999999980669e-07    8.99999999999999985743e-08   1.19999999999999989276e-07 
                    3   7.90000000000000059542e-08   3.19599999999999997819e-06    1.08000000000000000936e-07   1.27000000000000012252e-07 
                    4   7.79999999999999969997e-08   3.15320000000000023551e-05    1.42000000000000000986e-07   1.23999999999999998624e-07 
                    5   8.00000000000000016738e-08   3.69302000000000009167e-04    1.56999999999999989719e-07   1.83000000000000010777e-07 
                    6   4.47000000000000018948e-07   3.34837799999999994466e-03    1.81999999999999988588e-07   1.97000000000000003791e-07 
                    7   4.68999999999999977718e-07   3.44237660000000014748e-02    2.39999999999999978552e-07   2.02000000000000008859e-07 
                    8   1.25699999999999999288e-06   3.24540178999999984200e-01    1.97000000000000003791e-07   2.34999999999999999954e-07 
                    9   6.89999999999999958188e-07   3.18484293699999998495e+00    2.26000000000000012008e-07   2.33000000000000008515e-07 

